,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
21679,20001213X26991,ATL89MA012B,1988-10-12,"YARDLEY, PA",United States,Incident,,Boeing,707-300,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,39.0,VMC,Probable Cause,1988,Boeing,39.0,0.0,100.0
21680,20001213X26991,ATL89MA012A,1988-10-12,"YARDLEY, PA",United States,Incident,,Aerospatiale,ATR-42-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,39.0,VMC,Probable Cause,1988,,39.0,0.0,100.0
21765,20001213X27132,MKC89IA012,1988-10-24,"SPRINGFIELD, MO",United States,Incident,Minor,Saab-Scania Ab (Saab),340A,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,1988,,11.0,0.0,100.0
21767,20001213X27003,CHI89IA018,1988-10-24,"CHICAGO, IL",United States,Incident,Minor,Boeing,B-727-200A,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,80.0,VMC,Probable Cause,1988,Boeing,80.0,0.0,100.0
21803,20001213X26975,ATL89FA020,1988-10-30,"MEMPHIS, TN",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,42.0,VMC,Probable Cause,1988,Mcdonnell Douglas,42.0,0.0,100.0
21841,20001213X27252,FTW89IA016,1988-11-06,"HOUSTON, TX",United States,Incident,,Boeing,727,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,1988,Boeing,53.0,0.0,100.0
21860,20001213X27223,CHI89IA023,1988-11-10,"MILWAUKEE, WI",United States,Incident,Minor,British Aerospace,JS-3101,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,1988,,12.0,0.0,100.0
21888,20001213X27336,NYC89IA028B,1988-11-13,"BOSTON, MA",United States,Incident,,Dornier,DO-228-202,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,144.0,VMC,Probable Cause,1988,,144.0,0.0,100.0
21889,20001213X27336,NYC89IA028A,1988-11-13,"BOSTON, MA",United States,Incident,Minor,Boeing,727-227,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,144.0,VMC,Probable Cause,1988,Boeing,144.0,0.0,100.0
21911,20001213X27318,MKC89IA024,1988-11-15,"MINNEAPOLIS, MN",United States,Incident,Minor,Mcdonnell Douglas,DC9-31,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,106.0,IMC,Probable Cause,1988,Mcdonnell Douglas,106.0,0.0,100.0
21918,20001213X27297,MIA89IA035,1988-11-16,"SANFORD, FL",United States,Incident,Minor,Boeing,707-355C,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,1988,Boeing,12.0,0.0,100.0
22087,20001213X27394,CHI89IA034,1988-12-22,"MOSINEE, WI",United States,Incident,,Aerospatiale,ATR-42,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,37.0,IMC,Probable Cause,1988,,37.0,0.0,100.0
22096,20001213X27446,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,Non-Fatal,,Boeing,747SP-21,4.0,Turbo Fan,Unknown,0.0,1.0,1.0,220.0,UNK,Probable Cause,1988,Boeing,222.0,0.45045045045045046,99.09909909909909
22116,20001213X27401,DCA89IA016,1988-12-26,"MORGANTOWN, WV",United States,Incident,Minor,Boeing,727-25,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,108.0,VMC,Probable Cause,1988,Boeing,110.0,0.0,98.18181818181819
22185,20001213X27583,FTW89IA038,1989-01-09,"BATON ROUGE, LA",United States,Incident,,Mcdonnell Douglas,DC9-30,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,62.0,IMC,Probable Cause,1989,Mcdonnell Douglas,64.0,0.0,96.875
22187,20001213X27515,ANC89IA032B,1989-01-09,"ANCHORAGE, AK",United States,Incident,Minor,Boeing,747,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,441.0,VMC,Probable Cause,1989,Boeing,441.0,0.0,100.0
22188,20001213X27515,ANC89IA032A,1989-01-09,"ANCHORAGE, AK",United States,Incident,Minor,Boeing,727-222,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,441.0,VMC,Probable Cause,1989,Boeing,441.0,0.0,100.0
22198,20001213X27564,DEN89IA060,1989-01-11,"GUNNISON, CO",United States,Incident,Minor,De Havilland,DHC-7-102,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,51.0,VMC,Probable Cause,1989,,51.0,0.0,100.0
22248,20001213X27530,ATL89IA080,1989-01-19,"ATLANTA, GA",United States,Incident,Minor,Boeing,757-225,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,111.0,VMC,Probable Cause,1989,Boeing,111.0,0.0,100.0
22256,20001213X27562,DEN89FA064,1989-01-20,"BUENA VISTA, CO",United States,Non-Fatal,Substantial,Convair,580,2.0,Turbo Prop,Unknown,0.0,0.0,5.0,24.0,VMC,Probable Cause,1989,Convair,29.0,0.0,82.75862068965517
22257,20001213X27558,CHI89MA046,1989-01-20,"CHICAGO, IL",United States,Non-Fatal,Substantial,Boeing,737-201,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,33.0,VMC,Probable Cause,1989,Boeing,33.0,0.0,100.0
22269,20001213X27565,DEN89IA067,1989-01-22,"SALT LAKE CITY, UT",United States,Incident,Minor,Boeing,707-323B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,194.0,IMC,Probable Cause,1989,Boeing,194.0,0.0,100.0
22275,20001213X27664,SEA89IA042,1989-01-23,"SEATTLE, WA",United States,Incident,Minor,Fairchild,SA-227-AC,2.0,Turbo Shaft,Unknown,0.0,0.0,0.0,14.0,VMC,Probable Cause,1989,,14.0,0.0,100.0
22308,20001213X27563,DEN89FA070B,1989-01-30,"SALT LAKE CITY, UT",United States,Non-Fatal,Substantial,Fairchild,SA-227-AC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,IMC,Probable Cause,1989,,16.0,0.0,100.0
22309,20001213X27563,DEN89FA070A,1989-01-30,"SALT LAKE CITY, UT",United States,Non-Fatal,Substantial,Swearingen,SA-227-AC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,IMC,Probable Cause,1989,,16.0,0.0,100.0
22327,20001213X27797,NYC89LA081,1989-02-04,"HYANNIS, MA",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1989,Cessna,10.0,0.0,100.0
22368,20001213X27743,LAX89IA112,1989-02-13,"LOS ALAMITOS, CA",United States,Incident,,British Aerospace,BAE 146-200A,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,70.0,VMC,Probable Cause,1989,,70.0,0.0,100.0
22400,20001213X27704,DCA89MA026,1989-02-19,"CORONA, CA",United States,Fatal(10),Destroyed,Cessna,402B,2.0,Reciprocating,Unknown,10.0,0.0,0.0,0.0,IMC,Probable Cause,1989,Cessna,10.0,100.0,0.0
22405,20001213X27722,FTW89IA053,1989-02-21,"HOUSTON, TX",United States,Incident,Minor,Mcdonnell Douglas,DC-9-32,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,47.0,VMC,Probable Cause,1989,Mcdonnell Douglas,49.0,0.0,95.91836734693877
22426,20001213X27705,DCA89MA027,1989-02-24,"HONOLULU, HI",United States,Fatal(9),Substantial,Boeing,747-122,4.0,Turbo Fan,Unknown,9.0,5.0,33.0,309.0,VMC,Probable Cause,1989,Boeing,356.0,3.932584269662921,86.79775280898876
22452,20001213X27891,FTW89IA064B,1989-03-01,"HOUSTON, TX",United States,Incident,,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,185.0,IMC,Probable Cause,1989,Mcdonnell Douglas,185.0,0.0,100.0
22453,20001213X27891,FTW89IA064A,1989-03-01,"HOUSTON, TX",United States,Incident,,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,185.0,IMC,Probable Cause,1989,Mcdonnell Douglas,185.0,0.0,100.0
22490,20001213X27859,CHI89IA054,1989-03-07,"CHICAGO, IL",United States,Incident,,Short Brothers,SD360,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,37.0,VMC,Probable Cause,1989,,37.0,0.0,100.0
22502,20001213X27829,ATL89IA099,1989-03-09,"DAYTON, OH",United States,Incident,,Boeing,737-201,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,82.0,UNK,Probable Cause,1989,Boeing,82.0,0.0,100.0
22542,20001213X27892,FTW89IA067,1989-03-14,"GREENVILLE, TX",United States,Incident,,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,7.0,91.0,VMC,Probable Cause,1989,Boeing,98.0,0.0,92.85714285714286
22560,20001213X27868,DCA89MA034,1989-03-17,"OAKLAND, CA",United States,Non-Fatal,Substantial,Boeing,737-300,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,69.0,VMC,Probable Cause,1989,Boeing,69.0,0.0,100.0
22576,20001213X27873,DEN89IA089B,1989-03-21,"SAN ANTONIO, TX",United States,Incident,,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,261.0,UNK,Probable Cause,1989,Boeing,261.0,0.0,100.0
22577,20001213X27873,DEN89IA089A,1989-03-21,"SAN ANTONIO, TX",United States,Incident,,Boeing,727-200A,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,261.0,UNK,Probable Cause,1989,Boeing,261.0,0.0,100.0
22590,20001213X27893,FTW89IA070,1989-03-23,"HOUSTON, TX",United States,Incident,Minor,Mcdonnell Douglas,DC-9,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,98.0,VMC,Probable Cause,1989,Mcdonnell Douglas,98.0,0.0,100.0
22597,20001213X27987,NYC89IA107,1989-03-24,"ALBANY, NY",United States,Incident,,Short Brothers,SD3-60,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1989,,10.0,0.0,100.0
22672,20001213X28113,LAX89LA144,1989-04-03,"LOS ANGELES, CA",United States,Non-Fatal,,Boeing,767-201,2.0,Turbo Jet,Unknown,0.0,2.0,1.0,219.0,VMC,Probable Cause,1989,Boeing,222.0,0.9009009009009009,98.64864864864865
22807,20001213X28182,NYC89IA222B,1989-04-23,"NEW YORK, NY",United States,Incident,,Boeing,727-227,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,208.0,VMC,Probable Cause,1989,Boeing,208.0,0.0,100.0
22808,20001213X28182,NYC89IA222A,1989-04-23,"NEW YORK, NY",United States,Incident,,Cessna,421C,2.0,Reciprocating,Positioning,0.0,0.0,0.0,208.0,VMC,Probable Cause,1989,Cessna,208.0,0.0,100.0
22809,20001213X28181,NYC89IA123B,1989-04-23,"NEW YORK, NY",United States,Incident,,Boeing,747-284B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,241.0,VMC,Probable Cause,1989,Boeing,241.0,0.0,100.0
22810,20001213X28181,NYC89IA123A,1989-04-23,"NEW YORK, NY",United States,Incident,,Fairchild Swearingen,SA-227AC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,241.0,VMC,Probable Cause,1989,,241.0,0.0,100.0
22866,20001213X28263,CHI89IA083,1989-05-02,"MINNEAPOLIS, MN",United States,Incident,Minor,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,96.0,VMC,Probable Cause,1989,Mcdonnell Douglas,96.0,0.0,100.0
22907,20001213X28339,LAX89IA184,1989-05-07,"LOS ANGELES, CA",United States,Incident,,Boeing,747,4.0,Turbo Fan,Unknown,0.0,0.0,3.0,383.0,VMC,Probable Cause,1989,Boeing,386.0,0.0,99.22279792746113
22921,20001213X28348,LAX89LA191,1989-05-10,"SAN DIEGO, CA",United States,Non-Fatal,,Airbus Industrie,A-300-B4-203,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,93.0,VMC,Probable Cause,1989,Airbus,94.0,1.0638297872340425,98.93617021276596
22951,20001213X28251,BFO89IA036A,1989-05-15,"WASHINGTON, DC",United States,Incident,,Northrop,T-38A,2.0,Turbo Jet,Public Aircraft,0.0,0.0,0.0,177.0,IMC,Probable Cause,1989,,177.0,0.0,100.0
22969,20001213X28261,CHI89FA092,1989-05-18,"MARION, IL",United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,14.0,VMC,Probable Cause,1989,,14.0,0.0,100.0
23024,20001213X28288,DEN89IA124,1989-05-24,"DENVER, CO",United States,Incident,Minor,Boeing,727-247,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,121.0,VMC,Probable Cause,1989,Boeing,121.0,0.0,100.0
23062,20001213X28286,DEN89FA123,1989-05-28,"DENVER, CO",United States,Non-Fatal,Substantial,Mcdonnell Douglas,MD-80,2.0,Turbo Fan,Unknown,0.0,0.0,7.0,38.0,VMC,Probable Cause,1989,Mcdonnell Douglas,45.0,0.0,84.44444444444444
23142,20001213X28527,CHI89IA104,1989-06-06,"GARDEN CITY, KS",United States,Incident,,Mcdonnell Douglas,DC-10,3.0,Turbo Fan,Unknown,0.0,0.0,24.0,221.0,IMC,Probable Cause,1989,Mcdonnell Douglas,245.0,0.0,90.20408163265307
23175,20001213X28542,DCA89MA058,1989-06-11,"WAIPIO VALLEY, HI",United States,Fatal(11),Destroyed,Beech,H18,2.0,Reciprocating,Unknown,11.0,0.0,0.0,0.0,VMC,Probable Cause,1989,Beech,11.0,100.0,0.0
23209,20001213X28483,ATL89FA161,1989-06-16,"JACKS CREEK, TN",United States,Non-Fatal,,Lockheed,L1011-385-1,3.0,Turbo Fan,Unknown,0.0,7.0,23.0,259.0,VMC,Probable Cause,1989,Lockheed,289.0,2.422145328719723,89.61937716262976
23306,20001213X28501,BFO89IA047,1989-06-26,"BALTIMORE, MD",United States,Incident,Minor,British Aerospace,3101,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,13.0,VMC,Probable Cause,1989,,13.0,0.0,100.0
23307,20001213X28497,ATL89LA172,1989-06-26,"ATLANTA, GA",United States,Non-Fatal,,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,105.0,VMC,Probable Cause,1989,Boeing,106.0,0.9433962264150944,99.05660377358491
23440,20001213X28764,CHI89IA144,1989-07-09,"CHICAGO, IL",United States,Incident,,Dornier,DO-228,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,1989,,16.0,0.0,100.0
23441,20001213X28763,CHI89IA143,1989-07-09,"CHICAGO, IL",United States,Incident,,Mcdonnell Douglas,DC-9-32,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,1989,Mcdonnell Douglas,84.0,0.0,100.0
23527,20001213X28762,CHI89IA140,1989-07-18,"CHICAGO, IL",United States,Incident,,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,250.0,VMC,Probable Cause,1989,Mcdonnell Douglas,250.0,0.0,100.0
23534,20001213X28786,DCA89MA063,1989-07-19,"SIOUX CITY, IA",United States,Fatal(111),Destroyed,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,111.0,47.0,125.0,13.0,VMC,Probable Cause,1989,Mcdonnell Douglas,296.0,53.37837837837838,4.391891891891892
23581,20001213X28949,NYC89IA176,1989-07-25,"NEWARK, NJ",United States,Incident,Minor,Douglas,DC-9-30,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,89.0,VMC,Probable Cause,1989,Douglas,89.0,0.0,100.0
23590,20001213X28884,LAX89LA328,1989-07-26,"BULLHEAD CITY, AZ",United States,Non-Fatal,,British Aerospace,3201,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,19.0,VMC,Probable Cause,1989,,20.0,5.0,95.0
23657,20001213X29031,ATL89IA187,1989-08-02,"GREENSBORO, NC",United States,Incident,Minor,Boeing,737-400,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,106.0,VMC,Probable Cause,1989,Boeing,106.0,0.0,100.0
23733,20001213X29088,DCA89IA066,1989-08-09,"DENVER, CO",United States,Incident,Minor,Mcdonnell Douglas,DC-10-40,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,254.0,VMC,Probable Cause,1989,Mcdonnell Douglas,254.0,0.0,100.0
23738,20001213X29225,NYC89IA185,1989-08-10,"BOSTON, MA",United States,Incident,Minor,Boeing,727-254,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,54.0,VMC,Probable Cause,1989,Boeing,56.0,0.0,96.42857142857143
23739,20001213X29143,LAX89IA315,1989-08-10,"LOS ANGELES, CA",United States,Incident,Minor,Boeing,727-224,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,148.0,VMC,Probable Cause,1989,Boeing,148.0,0.0,100.0
23815,20001213X29192,MIA89LA228,1989-08-19,"VERO BEACH, FL",United States,Non-Fatal,,Fokker,F-28 MK4000,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,13.0,VMC,Probable Cause,1989,,14.0,7.142857142857142,92.85714285714286
23861,20001213X29120,FTW89IA152,1989-08-25,"KENNER, LA",United States,Incident,Minor,Boeing,727-231,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,149.0,VMC,Probable Cause,1989,Boeing,149.0,0.0,100.0
23932,20001213X29481,NYC89LA215,1989-09-01,"BOSTON, MA",United States,Non-Fatal,Substantial,Beech,1900C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,15.0,VMC,Probable Cause,1989,Beech,15.0,0.0,100.0
23974,20001213X29317,CHI89IA179,1989-09-05,"KNOX, IN",United States,Incident,,Boeing,767-231,2.0,Turbo Fan,Unknown,0.0,0.0,6.0,156.0,IMC,Probable Cause,1989,Boeing,162.0,0.0,96.29629629629629
23984,20001213X29399,LAX89FA303,1989-09-06,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,Fairchild,SA227-AC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1989,,10.0,0.0,100.0
23991,20001213X29334,DCA89IA071,1989-09-08,"KANSAS CITY, MO",United States,Incident,Minor,Boeing,737-200A,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,IMC,Probable Cause,1989,Boeing,65.0,0.0,100.0
24027,20001213X29315,CHI89FA183,1989-09-12,"CHICAGO, IL",United States,Non-Fatal,Substantial,Mcdonnell Douglas,MD-80,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,108.0,VMC,Probable Cause,1989,Mcdonnell Douglas,110.0,0.0,98.18181818181819
24029,20001213X29437,MIA89IA248,1989-09-13,"FORT LAUDERDALE, FL",United States,Incident,Minor,Boeing,757-232,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,106.0,VMC,Probable Cause,1989,Boeing,106.0,0.0,100.0
24090,20001213X29335,DCA89MA074,1989-09-20,"FLUSHING, NY",United States,Fatal(2),Destroyed,Boeing,737-400,2.0,Turbo Fan,Unknown,2.0,3.0,18.0,40.0,IMC,Probable Cause,1989,Boeing,63.0,7.936507936507936,63.49206349206349
24136,20001213X29336,DCA89MA076,1989-09-27,"GRAND CANYON, AZ",United States,Fatal(10),Destroyed,De Havilland,DHC-6-300,2.0,Turbo Prop,Unknown,10.0,9.0,2.0,0.0,VMC,Probable Cause,1989,,21.0,90.47619047619048,0.0
24176,20001213X29459,MKC89FA202,1989-09-30,"BEMIDJI, MN",United States,Non-Fatal,Substantial,Fokker,F27,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,29.0,VMC,Probable Cause,1989,,29.0,0.0,100.0
24222,20001213X29644,MIA90FA008,1989-10-07,"ORLANDO, FL",United States,Fatal(1),,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,Unknown,1.0,0.0,0.0,107.0,VMC,Probable Cause,1989,Mcdonnell Douglas,108.0,0.9259259259259258,99.07407407407408
24242,20001213X29555,CHI90IA006,1989-10-09,"SAN FRANCISCO, CA",United States,Incident,Minor,Boeing,757-251,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,147.0,VMC,Probable Cause,1989,Boeing,147.0,0.0,100.0
24269,20001213X29575,DCA90MA002,1989-10-14,"SALT LAKE CITY, UT",United States,Non-Fatal,Destroyed,Boeing,727-232,3.0,Turbo Jet,Unknown,0.0,0.0,5.0,17.0,UNK,Probable Cause,1989,Boeing,22.0,0.0,77.27272727272727
24296,20001213X29581,DEN90IA012,1989-10-18,"MONTE VISTA, CO",United States,Incident,Minor,Mcdonnell Douglas,DC-9,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,102.0,VMC,Probable Cause,1989,Mcdonnell Douglas,103.0,0.0,99.02912621359224
24354,20001213X29582,DEN90IA016,1989-10-27,"RAPID CITY, SD",United States,Incident,,Boeing,737-322,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,40.0,VMC,Probable Cause,1989,Boeing,40.0,0.0,100.0
24360,20001213X29576,DCA90MA005,1989-10-28,"HALAWA,MOLOKAI, HI",United States,Fatal(20),Destroyed,De Havilland,DHC-6-300,2.0,Turbo Prop,Unknown,20.0,0.0,0.0,0.0,IMC,Probable Cause,1989,,20.0,100.0,0.0
24417,20001213X29815,LAX90LA021,1989-11-06,"PHOENIX, AZ",United States,Non-Fatal,,Boeing,757-2S7,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,98.0,VMC,Probable Cause,1989,Boeing,99.0,1.0101010101010102,98.98989898989899
24511,20001213X29794,FTW90IA030,1989-11-22,"BEAUMONT, TX",United States,Incident,Minor,Saab-Fairchild,340A,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,37.0,VMC,Probable Cause,1989,,37.0,0.0,100.0
24556,20001213X29737,ATL90IA033,1989-11-29,"ATLANTA, GA",United States,Incident,Minor,Boeing,727-225,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,1989,Boeing,53.0,0.0,100.0
24595,20001213X29991,MIA90IA038,1989-12-08,"TALLAHASSEE, FL",United States,Incident,Minor,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,34.0,IMC,Probable Cause,1989,Mcdonnell Douglas,34.0,0.0,100.0
24611,20001213X29957,FTW90IA043,1989-12-11,"BATON ROUGE, LA",United States,Incident,,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,149.0,VMC,Probable Cause,1989,Mcdonnell Douglas,149.0,0.0,100.0
24614,20001213X29927,CHI90IA044,1989-12-13,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,36.0,IMC,Probable Cause,1989,Mcdonnell Douglas,36.0,0.0,100.0
24620,20001213X29992,MIA90IA039B,1989-12-15,"ORMOND BEACH, FL",United States,Incident,,Beech,300,2.0,Turbo Prop,Public Aircraft,0.0,0.0,0.0,59.0,VMC,Probable Cause,1989,Beech,59.0,0.0,100.0
24621,20001213X29992,MIA90IA039A,1989-12-15,"ORMOND BEACH, FL",United States,Incident,,Boeing,727,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,59.0,VMC,Probable Cause,1989,Boeing,59.0,0.0,100.0
24623,20001213X29915,BFO90FA012,1989-12-15,"STAUNTON, VA",United States,Non-Fatal,Substantial,British Aerospace,BAE 3101,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,IMC,Probable Cause,1989,,20.0,0.0,100.0
24624,20001213X29893,ANC90FA020,1989-12-15,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,Boeing,747-400,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,245.0,IMC,Probable Cause,1989,Boeing,245.0,0.0,100.0
24639,20001213X29982,LAX90LA055,1989-12-21,"SANTA ANA, CA",United States,Non-Fatal,Substantial,Boeing,757-223,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,111.0,VMC,Probable Cause,1989,Boeing,111.0,0.0,100.0
24659,20001213X29997,MIA90LA042,1989-12-27,"MIAMI, FL",United States,Fatal(1),,Boeing,727-225B,3.0,Turbo Jet,Unknown,1.0,0.0,0.0,53.0,VMC,Probable Cause,1989,Boeing,54.0,1.8518518518518516,98.14814814814815
24690,20001213X29969,LAX90FA061,1989-12-30,"TUCSON, AZ",United States,Non-Fatal,Substantial,Boeing,737-204,2.0,Turbo Fan,Unknown,0.0,0.0,10.0,123.0,VMC,Probable Cause,1989,Boeing,133.0,0.0,92.4812030075188
24692,20001212X22375,BFO90FA017,1990-01-02,"BALTIMORE, MD",United States,Non-Fatal,,Douglas,DC-10,3.0,Turbo Fan,Unknown,0.0,3.0,7.0,247.0,VMC,Probable Cause,1990,Douglas,257.0,1.1673151750972763,96.10894941634241
24700,20001212X22451,MIA90IA047,1990-01-04,"MADISON, FL",United States,Incident,Minor,Boeing,727-251,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,145.0,VMC,Probable Cause,1990,Boeing,145.0,0.0,100.0
24757,20001212X22403,DEN90FA042,1990-01-15,"ELKO, NV",United States,Non-Fatal,Substantial,Fairchild,SA227-AC,2.0,Turbo Prop,Unknown,0.0,4.0,9.0,3.0,IMC,Probable Cause,1990,,16.0,25.0,18.75
24764,20001212X22410,DEN90LA046,1990-01-16,"NEW YORK, NY",United States,Non-Fatal,Substantial,Boeing,757-222,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,176.0,VMC,Probable Cause,1990,Boeing,176.0,0.0,100.0
24770,20001212X22481,NYC90IA050,1990-01-18,"PHILADELPHIA, PA",United States,Incident,,Mcdonnell Douglas,DC-9-51,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,44.0,VMC,Probable Cause,1990,Mcdonnell Douglas,44.0,0.0,100.0
24773,20001212X22400,DCA90MA017A,1990-01-18,"ATLANTA, GA",United States,Fatal(1),Destroyed,Beech,A100,2.0,Turbo Prop,Positioning,1.0,1.0,0.0,157.0,VMC,Probable Cause,1990,Beech,159.0,1.257861635220126,98.74213836477988
24776,20001212X22400,DCA90MA017B,1990-01-18,"ATLANTA, GA",United States,Fatal(1),Substantial,Boeing,727,3.0,Turbo Fan,Unknown,1.0,1.0,0.0,157.0,VMC,Probable Cause,1990,Boeing,159.0,1.257861635220126,98.74213836477988
24788,20001212X22388,CHI90IA070,1990-01-20,"CEDAR RAPIDS, IA",United States,Incident,Minor,Boeing,B737-300,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,72.0,VMC,Probable Cause,1990,Boeing,72.0,0.0,100.0
24809,20001212X22370,ATL90LA054,1990-01-24,"MORRISVILLE, NC",United States,Non-Fatal,Substantial,Swearingen,SA 226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,1990,,11.0,0.0,100.0
24810,20001212X22401,DCA90MA019,1990-01-25,"COVE NECK, NY",United States,Fatal(73),Destroyed,Boeing,707-321B,4.0,Turbo Fan,Unknown,73.0,81.0,4.0,0.0,IMC,Probable Cause,1990,Boeing,158.0,97.46835443037975,0.0
24832,20001212X22500,SEA90LA037,1990-01-30,"COEUR D'ALENE, ID",United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,21.0,IMC,Probable Cause,1990,,21.0,0.0,100.0
