,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
8685,20001214X39891,CHI84MA249,1984-06-20,"CINCINNATI, OH",United States,Fatal(4),Destroyed,Cessna,340A,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
8695,20001214X39976,LAX84FA361,1984-06-20,"SAN FRANCISCO, CA",United States,Non-Fatal,Substantial,Cessna,404,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
8722,20001214X39894,DCA84IA029,1984-06-23,"CHICAGO, IL",United States,Incident,Minor,Boeing,707-323C,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,4.0,IMC,Probable Cause,Boeing,1984
8774,20001214X39840,CHI84IA264,1984-06-26,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC-8-54,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Mcdonnell Douglas,1984
8782,20001214X40098,NYC84IA225,1984-06-27,"PORTLAND, ME",United States,Incident,Minor,Boeing,737-130,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,121.0,VMC,Probable Cause,Boeing,1984
8815,20001214X40087,NYC84FA227,1984-06-30,"BOSTON, MA",United States,Fatal(1),Destroyed,Cessna,402C,2.0,Reciprocating,Positioning,1.0,1.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
8829,20001214X39942,FTW84FA296,1984-06-30,"EL PASO, TX",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Business,0.0,0.0,0.0,8.0,VMC,Probable Cause,Cessna,1984
8864,20001214X40455,NYC84FA228,1984-07-03,"N. HAVERHILL, NH",United States,Fatal(1),Destroyed,Beech,B55,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1984
8866,20001214X40269,DEN84IA209,1984-07-03,"DENVER, CO",United States,Incident,Minor,Boeing,727-23,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,75.0,VMC,Probable Cause,Boeing,1984
8894,20001214X40209,CHI84FA278,1984-07-05,"WINCHESTER, IN",United States,Fatal(4),Destroyed,Cessna,414A,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
8926,20001214X40315,FTW84LA304,1984-07-07,"LUBBOCK, TX",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Probable Cause,Beech,1984
8931,20001214X40363,LAX84LA385,1984-07-07,"GUALALA, CA",United States,Non-Fatal,Substantial,Cessna,500,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1984
8932,20001214X40457,NYC84FA234,1984-07-08,"SHELTER ISLAND, NY",United States,Fatal(2),Destroyed,Beech,95,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1984
8946,20001214X40182,ATL84FKG11,1984-07-08,"KENNESAW, GA",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1984
8947,20001214X40476,NYC84LA236,1984-07-08,"ONEONTA, NY",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1984
8952,20001214X40431,MKC84LA208,1984-07-09,"HICKORY RIDGE, AR",United States,Non-Fatal,Substantial,Cessna,337G,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
8985,20001214X40320,FTW84LA309,1984-07-12,"MCALESTER, OK",United States,Non-Fatal,Substantial,Beech,C-45-H,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9033,20001214X40226,CHI84IA301,1984-07-16,"CHICAGO, IL",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,91.0,VMC,Probable Cause,Boeing,1984
9039,20001214X40419,MKC84IA220,1984-07-17,"COLUMBIA, MO",United States,Incident,Minor,Beech,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9040,20001214X40373,LAX84LA401,1984-07-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Beech,H18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9056,20001214X40190,ATL84LA223,1984-07-18,"SUMTER, SC",United States,Non-Fatal,Substantial,Beech,58 E,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9064,20001214X40191,ATL84LA224,1984-07-19,"NO.MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
9068,20001214X40215,CHI84FA303,1984-07-20,"BIRCHWOOD, WI",United States,Fatal(3),Destroyed,Cessna,421,2.0,Reciprocating,Personal,3.0,1.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
9077,20001214X40327,FTW84LA317,1984-07-20,"MCALLEN, TX",United States,Non-Fatal,Substantial,Beech,D-18S,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
9126,20001214X40492,NYC84LA254,1984-07-23,"YORK, PA",United States,Non-Fatal,Substantial,Cessna,310I,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9158,20001214X40470,NYC84IA271,1984-07-26,"BUFFALO, NY",United States,Incident,Minor,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,105.0,VMC,Probable Cause,Boeing,1984
9176,20001214X40296,DEN84LA240,1984-07-27,"HAVRE, MT",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Personal,0.0,0.0,0.0,7.0,VMC,Probable Cause,Cessna,1984
9199,20001214X40495,NYC84LA257,1984-07-28,"WATERVILLE, ME",United States,Non-Fatal,Substantial,Gates Learjet,25B,2.0,Turbo Jet,Unknown,0.0,2.0,3.0,0.0,VMC,Probable Cause,Learjet,1984
9225,20001214X40696,DEN84MA247,1984-08-01,"FORT LUPTON, CO",United States,Fatal(3),Destroyed,Cessna,421C,2.0,Reciprocating,Executive/corporate,3.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
9235,20001214X40863,NYC84LA260,1984-08-01,"UNIVERSITY PARK, PA",United States,Non-Fatal,Substantial,Cessna,335,2.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1984
9240,20001214X40865,NYC84LA262,1984-08-02,"NEWPORT, RI",United States,Non-Fatal,Substantial,Beech,BE-55,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9242,20001214X40706,FTW84LA333,1984-08-02,"HOUSTON, TX",United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,Ferry,0.0,0.0,1.0,1.0,VMC,Probable Cause,Beech,1984
9252,20001214X40562,ATL84FA241,1984-08-03,"OCEAN SPRINGS, MS",United States,Non-Fatal,Destroyed,Cessna,337A,2.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Probable Cause,Cessna,1984
9256,20001214X40708,FTW84LA336,1984-08-03,"AMARILLO, TX",United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9260,20001214X40824,MKC84LA238,1984-08-03,"HUTCHINSON, KS",United States,Non-Fatal,Substantial,Cessna,401,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9261,20001214X40621,CHI84LA327,1984-08-03,"DETROIT, MI",United States,Non-Fatal,Substantial,Gulfstream,690,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,IMC,Probable Cause,Gulfstream,1984
9269,20001214X40867,NYC84LA264,1984-08-04,"MANAHAWKIN, NJ",United States,Non-Fatal,Substantial,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9283,20001214X40796,MIA84LA217,1984-08-05,"KEY LARGO, FL",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1984
9287,20001214X40674,DEN84LA250,1984-08-05,"ALBUQUERQUE, NM",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Business,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1984
9298,20001214X40574,ATL84IA246,1984-08-06,"NASHVILLE, TN",United States,Incident,Minor,Mcdonnell Douglas,DC-9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,85.0,VMC,Probable Cause,Mcdonnell Douglas,1984
9299,20001214X40869,NYC84LA266,1984-08-06,"TRENTON, NJ",United States,Non-Fatal,Substantial,Beech,B55,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
9315,20001214X40564,ATL84FA248,1984-08-08,"KENNESAW, GA",United States,Fatal(4),Destroyed,Cessna,421C,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
9347,20001214X40566,ATL84FA251,1984-08-11,"MEMPHIS, TN",United States,Fatal(3),Destroyed,Douglas,DC3C-S1C3G,2.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,VMC,Probable Cause,Douglas,1984
9398,20001214X40803,MIA84LA228,1984-08-14,"FT.LAUDERDALE, FL",United States,Non-Fatal,Substantial,Douglas,C-54,4.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1984
9426,20001214X40704,FTW84FA372,1984-08-17,"DFW AIRPORT, TX",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9445,20001214X40725,FTW84LA360,1984-08-18,"AMARILLO, TX",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9486,20001214X40744,LAX84FA451,1984-08-22,"PARADISE, CA",United States,Fatal(1),Destroyed,Cessna,T337G,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
9504,20001214X40746,LAX84FA453,1984-08-23,"MONTEREY, CA",United States,Fatal(5),Destroyed,Cessna,320C,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
9513,20001214X40851,NYC84FA294,1984-08-24,"WALLINGFORD, VT",United States,Fatal(2),Destroyed,Cessna,414,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
9515,20001214X40721,FTW84LA356,1984-08-24,"GOLIAD, TX",United States,Non-Fatal,Destroyed,Gulfstream,520,2.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,UNK,Probable Cause,Gulfstream,1984
9517,20001214X40665,DCA84AA034A,1984-08-24,"SAN LUIS OBISPO, CA",United States,Fatal(17),Destroyed,Beech,C-99,2.0,Turbo Prop,Unknown,17.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1984
9528,20001214X40794,MIA84IA242,1984-08-25,"ORLANDO, FL",United States,Incident,Minor,Mcdonnell Douglas,DC-9-51,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,96.0,VMC,Probable Cause,Mcdonnell Douglas,1984
9565,20001214X40654,CHI84LA366,1984-08-27,"DELAVAN, MN",United States,Non-Fatal,Substantial,Cessna,A188B,2.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9601,20001214X40606,BFO84IA004,1984-08-31,"WASHINGTON, DC",United States,Incident,Minor,Beech,58,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
9603,20001214X40569,ATL84FA274,1984-08-31,"ALBERTVILLE, AL",United States,Fatal(2),Destroyed,Cessna,402C,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
9605,20001214X40845,MKC84LA266,1984-08-31,"BRIDGEPORT, NE",United States,Non-Fatal,Substantial,Beech,BE 58,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1984
9630,20001214X41110,LAX84FUJ03,1984-09-01,"CHANDLER, AZ",United States,Non-Fatal,Substantial,Cessna,T337E,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
9651,20001214X40987,BFO84IA005B,1984-09-03,"WASHINGTON, DC",United States,Incident,Minor,Mcdonnell Douglas,MD-80,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,81.0,VMC,Probable Cause,Mcdonnell Douglas,1984
9652,20001214X40987,BFO84IA005A,1984-09-03,"WASHINGTON, DC",United States,Incident,Minor,Boeing,727-22,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,81.0,VMC,Probable Cause,Boeing,1984
9672,20001214X40971,ATL84LA279,1984-09-04,"LAURENS, SC",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
9682,20001214X40994,CHI84LA378,1984-09-05,"CLEAR LAKE, MN",United States,Non-Fatal,Substantial,Cessna,320B,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9690,20001214X41141,MIA84FA251,1984-09-07,"NAPLES, FL",United States,Fatal(1),Destroyed,Cessna,402C,2.0,Reciprocating,Unknown,1.0,2.0,3.0,0.0,VMC,Probable Cause,Cessna,1984
9698,20001214X40966,ATL84FKG12,1984-09-07,"HAZLEHURST, GA",United States,Non-Fatal,Substantial,Cessna,411,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1984
9703,20001214X41100,LAX84FA472,1984-09-08,"REDLANDS, CA",United States,Fatal(2),Destroyed,Cessna,310,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
9736,20001214X41073,FTW84LA386,1984-09-10,"ALTUS, OK",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
9739,20001214X41172,MKC84LA274,1984-09-10,"CHESTERFIELD, MO",United States,Non-Fatal,Substantial,Gates Learjet,LR-24D,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,Learjet,1984
9779,20001214X41063,FTW84IA400,1984-09-15,"DFW AIRPORT, TX",United States,Incident,Minor,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Ferry,0.0,0.0,0.0,3.0,VMC,Probable Cause,Mcdonnell Douglas,1984
9826,20001214X41143,MIA84FA256,1984-09-18,"BOCA RATON, FL",United States,Non-Fatal,Substantial,Douglas,DC3,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1984
9832,20001214X41105,LAX84FA487,1984-09-19,"SANTA ANA, CA",United States,Non-Fatal,Substantial,Cessna,550,2.0,Turbo Fan,Instructional,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1984
9836,20001214X41125,LAX84LA486,1984-09-20,"CARLSBAD, CA",United States,Non-Fatal,Destroyed,Cessna,414A,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Probable Cause,Cessna,1984
9846,20001214X41090,FTW84LA407,1984-09-21,"DALLAS, TX",United States,Non-Fatal,Destroyed,Beech,95-C55,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1984
9852,20001214X41128,LAX84LA490,1984-09-21,"DOLAN SPRINGS, AZ",United States,Non-Fatal,Substantial,Cessna,411,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
9879,20001214X41216,NYC84LA321,1984-09-24,"TITUSVILLE, PA",United States,Non-Fatal,Destroyed,Beech,58F,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Probable Cause,Beech,1984
9919,20001214X41160,MIA84LA263,1984-09-28,"NAPLES, FL",United States,Non-Fatal,Substantial,Cessna,421,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
9921,20001214X41228,SEA84IA233,1984-09-29,"SEATTLE, WA",United States,Incident,Minor,Boeing,747-200B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,172.0,VMC,Probable Cause,Boeing,1984
9993,20001214X41386,LAX85FA006,1984-10-07,"NEWPORT BEACH, CA",United States,Fatal(1),Destroyed,Beech,95-A55,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1984
9996,20001214X41292,CHI85FA005,1984-10-07,"ALLEGAN, MI",United States,Fatal(1),Destroyed,Cessna,310C,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
10006,20001214X41422,LAX85MA008,1984-10-08,"SAN FRANCISCO, CA",United States,Fatal(3),Destroyed,Gates Learjet,24B,2.0,Turbo Jet,Positioning,3.0,0.0,0.0,0.0,IMC,Probable Cause,Learjet,1984
10016,20001214X41432,MIA85LA004,1984-10-09,"ORLANDO, FL",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
10018,20001214X41376,FTW85LA020,1984-10-09,"LOS FRESNOS, TX",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
10051,20001214X41327,DCA85IA001,1984-10-14,"ERIE, PA",United States,Incident,Minor,Mcdonnell Douglas,DC-9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,77.0,IMC,Probable Cause,Mcdonnell Douglas,1984
10075,20001214X41313,CHI85LA016,1984-10-16,"BLUE EARTH, MN",United States,Non-Fatal,Substantial,Cessna,340,2.0,Reciprocating,Executive/corporate,0.0,1.0,0.0,4.0,IMC,Probable Cause,Cessna,1984
10077,20001214X41251,ANC85LA006,1984-10-16,"SELAWIK, AK",United States,Non-Fatal,Substantial,Beech,3NM,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
10083,20001214X41359,FTW85FA019,1984-10-18,"ADDISON, TX",United States,Fatal(1),Destroyed,Cessna,421C,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
10101,20001214X41335,DEN85FA015,1984-10-20,"CHEYENNE, WY",United States,Non-Fatal,Destroyed,Cessna,414-8,2.0,Reciprocating,Business,0.0,3.0,0.0,1.0,IMC,Probable Cause,Cessna,1984
10113,20001214X41339,DEN85IA016,1984-10-21,"FORT MORGAN, CO",United States,Incident,Minor,Beech,99A,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,IMC,Probable Cause,Beech,1984
10126,20001214X41336,DEN85FA017,1984-10-23,"CHEYENNE, WY",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Business,0.0,1.0,0.0,0.0,IMC,Probable Cause,Cessna,1984
10129,20001214X41287,BFO85FA001,1984-10-24,"HOT SPRINGS, VA",United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,Positioning,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1984
10134,20001214X41321,CHI85LA026,1984-10-24,"BELLEVILLE, MI",United States,Non-Fatal,Substantial,Beech,G-18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1984
10137,20001214X41348,DEN85LA018,1984-10-25,"HEBER CITY, UT",United States,Non-Fatal,Substantial,Beech,C-45H,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
10139,20001214X41379,FTW85LA024,1984-10-26,"BEEVILLE, TX",United States,Fatal(1),Destroyed,Beech,58P,2.0,Reciprocating,Business,1.0,1.0,1.0,0.0,IMC,Probable Cause,Beech,1984
10146,20001214X41382,FTW85LA029,1984-10-26,"EL PASO, TX",United States,Non-Fatal,Substantial,Douglas,DC3C,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1984
10147,20001214X41283,ATL85LA022,1984-10-26,"BIRMINGHAM, AL",United States,Non-Fatal,Substantial,Beech,95,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1984
10150,20001214X41301,CHI85IA032,1984-10-27,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,276.0,VMC,Probable Cause,Mcdonnell Douglas,1984
10157,20001214X41350,DEN85LA021,1984-10-27,"GLEN CANYON, UT",United States,Non-Fatal,Substantial,Cessna,320B,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1984
10173,20001214X41338,DEN85FA026,1984-10-29,"LAS VEGAS, NM",United States,Fatal(1),Destroyed,Cessna,340,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
10177,20001214X41441,MIA85LA019,1984-10-29,"FT.WALTON BEACH, FL",United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1984
10186,20001214X41299,CHI85FA035,1984-10-31,"WOOSTER, OH",United States,Fatal(2),Destroyed,Gulfstream,690C,2.0,Turbo Prop,Business,2.0,0.0,0.0,0.0,VMC,Probable Cause,Gulfstream,1984
10187,20001214X41454,MKC85LA011,1984-10-31,"CHANUTE, KS",United States,Non-Fatal,Substantial,Cessna,310J,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
10190,20001214X41666,NYC85LA018,1984-11-01,"LACONIA, NH",United States,Non-Fatal,Destroyed,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Probable Cause,Beech,1984
10192,20001214X41599,LAX85IA037,1984-11-01,"LOS ANGELES, CA",United States,Incident,Minor,Boeing,747-131,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,365.0,VMC,Probable Cause,Boeing,1984
10206,20001214X41575,FTW85LA035,1984-11-03,"SONORA, TX",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Probable Cause,Beech,1984
10209,20001214X41529,CHI85LA038,1984-11-03,"GRAYSLAKE, IL",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1984
10225,20001214X41669,NYC85LA023,1984-11-05,"GROTON, CT",United States,Non-Fatal,Substantial,Beech,BE-55E,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,IMC,Probable Cause,Beech,1984
10229,20001214X41624,MIA85LA025,1984-11-06,"OCALA, FL",United States,Non-Fatal,Destroyed,Cessna,310C,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
10232,20001214X41645,MKC85LA016,1984-11-06,"SPRINGFIELD, MO",United States,Non-Fatal,Substantial,Cessna,401A,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
10237,20001214X41564,FTW85FA040,1984-11-08,"WEST MONROE, LA",United States,Non-Fatal,Destroyed,Cessna,T337B,2.0,Reciprocating,Executive/corporate,0.0,2.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
10251,20001214X41657,NYC85FA025,1984-11-10,"TAUNTON, MA",United States,Fatal(1),Minor,Cessna,C337,2.0,Reciprocating,Personal,1.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1984
10255,20001214X41670,NYC85LA026B,1984-11-10,"WATERFORD, CT",United States,Non-Fatal,Substantial,Beech,B95,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1984
10258,20001214X41579,FTW85LA042,1984-11-10,"GRAND CHENIER, LA",United States,Non-Fatal,Substantial,Cessna,441,2.0,Turbo Prop,Personal,0.0,0.0,2.0,0.0,VMC,Probable Cause,Cessna,1984
10277,20001214X41489,ANC85LA017,1984-11-12,"TOK, AK",United States,Non-Fatal,Substantial,Cessna,310J,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Cessna,1984
10293,20001214X41548,CHI85LA090,1984-11-15,"HAYWARD, WI",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1984
10301,20001214X41550,DCA85AA003,1984-11-16,"HONOLULU, HI",United States,Non-Fatal,Substantial,Boeing,747-122,4.0,Turbo Fan,Unknown,0.0,2.0,38.0,371.0,VMC,Probable Cause,Boeing,1984
10329,20001214X41522,CHI85FA053,1984-11-20,"VALPARAISO, IN",United States,Fatal(5),Destroyed,Cessna,310N,2.0,Reciprocating,Personal,5.0,1.0,0.0,0.0,VMC,Probable Cause,Cessna,1984
10335,20001214X41492,ANC85LA020,1984-11-20,"FAIRBANKS, AK",United States,Non-Fatal,Substantial,Embraer,EMB-110,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Embraer,1984
10383,20001214X41654,MKC85LA028,1984-11-27,"MASON CITY, IA",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,IMC,Probable Cause,Cessna,1984
10386,20001214X41573,FTW85FA061,1984-11-28,"SEMINOLE, OK",United States,Non-Fatal,Substantial,Cessna,T303,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1984
10394,20001214X41546,CHI85LA063,1984-11-30,"EDEN PRAIRIE, MN",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,IMC,Probable Cause,Cessna,1984
10396,20001214X41688,SEA85LA023,1984-11-30,"POCATELLO, ID",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,IMC,Probable Cause,Cessna,1984
10405,20001214X41894,SEA85LA025,1984-12-02,"WATERVILLE, WA",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1984
10416,20001214X41895,SEA85LA026,1984-12-03,"BOISE, ID",United States,Non-Fatal,Substantial,Cessna,402C,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1984
10417,20001214X41709,ATL85IA047,1984-12-04,"ATLANTA, GA",United States,Incident,Minor,Boeing,727-251,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,99.0,VMC,Probable Cause,Boeing,1984
10418,20001214X41787,FTW85LA068,1984-12-04,"LUBBOCK, TX",United States,Non-Fatal,Substantial,Cessna,T310R,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Probable Cause,Cessna,1984
